text,rate,number,rank,inform_tip
JOJO的奇妙冒险,8.3,(4040人评分),66,"
26话 / 2012年10月5日 / 荒木飛呂彦 "
水星领航员 OVA,8.4,(667人评分),67,"
1话 / 2007年9月21日 / 佐藤順一 / 天野こずえ / 古賀誠 "
猎人,8.3,(2251人评分),68,"
62话 / 1999年10月16日 / 古橋一浩 / 冨樫義博 "
钢之炼金术师,8.3,(4714人评分),69,"
51话 / 2003年10月4日 / 水島精二 / 荒川弘 / 伊藤嘉之 "
棒球英豪,8.4,(1053人评分),70,"
101话 / 1985年3月24日 / あだち充 "
银魂' 延长战,8.3,(2347人评分),71,"
13话 / 2012年10月4日 "
机动战士高达 逆袭的夏亚,8.4,(1045人评分),72,"
1988年3月12日 / 富野由悠季 / 富野由悠季 / 北爪宏幸 "
星际牛仔 天国之扉,8.3,(2037人评分),73,"
1话 / 2001年9月1日 / 矢立肇 "
水星领航员 第二季,8.3,(1129人评分),74,"
26话 / 2006年4月2日 / 佐藤順一 / 天野こずえ / 古賀誠 "
福音战士新剧场版：序,8.3,(5261人评分),75,"
1话 / 2007年9月1日 / 庵野秀明 "
数码兽大冒险,8.3,(3633人评分),76,"
54话 / 1999-03-07 / 本郷あきよし / 中鶴勝祥 "
日常,8.3,(7680人评分),77,"
26话 / 2011年4月2日 / 石原立也 / あらゐけいいち / 西屋太志 "
十二国记,8.3,(1969人评分),78,"
45话 / 2002年4月9日 / 小林常夫、栗原ひばり(40話のみ) / 小野不由美 / 田中比呂人、楠本祐子 "
Heart Catch 光之美少女!,8.4,(562人评分),79,"
49话 / 2010年2月7日 / 長峯達也 / 東堂いづみ / 馬越嘉彦 "
Code Geass 反叛的鲁路修,8.3,(8187人评分),80,"
25话 / 2006年10月5日 / 谷口悟朗 / 木村貴宏 "
虫师 续章 铃之雫,8.3,(843人评分),81,"
1话 / 2015年5月16日 "
夏目友人帐 参,8.3,(5016人评分),82,"
13话 / 2011年7月4日 / 大森貴弘 / 緑川ゆき / 髙田晃 "
永生之酒,8.3,(5028人评分),83,"
16话 / 2007年7月26日 / 大森貴弘 / 成田良悟 / 岸田隆宏 "
皇家国教骑士团 OVA,8.3,(2429人评分),84,"
10话 / 2006年2月10日 / ところともかず（#1 - #4）、田中洋之（#5 - #7）、松村やすひろ（#8、#10）、鈴木健一（#9 - #10） / 平野耕太 "
棋魂,8.3,(2504人评分),85,"
75话 / 2001年10月10日 / 西澤晋、神谷純、えんどうてつや / ほったゆみ、小畑健 / 本橋秀之、関口可奈味、上田美由紀、芝美奈子 "
机器人总动员,8.3,(2613人评分),86,"
1话 / 2008-06-27 / Andrew Stanton "
爆漫王。3,8.3,(2260人评分),87,"
25话 / 2012年10月6日 / 秋田谷典昭 / 小畑健、大場つぐみ "
王牌投手 振臂高挥,8.3,(1421人评分),88,"
26话 / 2007年4月12日 "
物怪,8.3,(2065人评分),89,"
12话 / 2007年7月12日 "
哆啦A梦,8.3,(1337人评分),90,"
2005年4月15日 / 藤子・F・不二雄 "
FLCL,8.3,(2480人评分),91,"
6话 / 2000年4月26日 / 鶴巻和哉 / GAINAX / 貞本義行 "
飞跃巅峰！,8.3,(1881人评分),92,"
6话 / 1988年10月7日 / 庵野秀明 / 岡田斗司夫 "
化物语,8.2,(8905人评分),93,"
15话 / 2009年7月3日 / 新房昭之 / 西尾維新「化物語」（講談社BOX） / 渡辺明夫 "
虫师 蚀日之翳,8.3,(1487人评分),94,"
1话 / 2014年1月4日 "
水星领航员,8.3,(1721人评分),95,"
13话 / 2005年10月5日 / 佐藤順一 / 天野こずえ / 古賀誠 "
太空丹迪 第二季,8.3,(1371人评分),96,"
13话 / 2014年7月6日 "
3月的狮子,8.2,(2542人评分),97,"
22话 / 2016年10月8日 / 新房昭之 / 羽海野チカ "
王牌投手 振臂高挥～夏日大会篇～,8.3,(1065人评分),98,"
14话 / 2010年4月1日 / 吉田隆彦 "
魔法少女小圆 剧场版 [新篇] 叛逆的物语,8.2,(4079人评分),99,"
1话 / 2013年10月26日 "
龙猫,8.2,(4215人评分),100,"
1话 / 1988年4月16日 / 宮崎駿 "
∀高达,8.3,(831人评分),101,"
50话 / 1999年4月9日 / 富野由悠季 / 矢立肇、富野由悠季 "
新世纪福音战士剧场版 死与新生,8.2,(3106人评分),102,"
2话 / 1997年3月15日 "
比宇宙更远的地方,8.2,(3402人评分),103,"
13话 / 2018年1月2日 / いしづかあつこ / よりもい / 吉松孝博 "
来自新世界,8.2,(5211人评分),104,"
25话 / 2012年9月28日 / 久保田誓（メイン）、清水祐実（サブ） "
电脑线圈,8.2,(2227人评分),105,"
26话 / 2007年5月12日 / 磯光雄 / 磯光雄 / 本田雄 "
来自深渊,8.2,(3625人评分),106,"
13话 / 2017年7月7日 / 小島正幸 / つくしあきひと "
东京教父,8.2,(2033人评分),107,"
1话 / 2003年11月8日 / 今敏 / 今敏 "
Fate/Zero,8.2,(10963人评分),108,"
25话 / 2011年10月1日 "
回忆三部曲,8.2,(1265人评分),109,"
3话 / 1995年12月23日 / 森本晃司、岡村天斎、大友克洋 "
全金属狂潮 校园篇,8.2,(3683人评分),110,"
12话 / 2003年8月26日 "
飞跃巅峰2！,8.2,(1712人评分),111,"
6话 / 2004年11月26日 / 鶴巻和哉 / GAINAX / 貞本義行 "
幸运星,8.2,(6505人评分),112,"
24话 / 2007年4月8日 / 山本寛（第1 - 4話）、武本康弘（第5 - 24話） / 美水かがみ / 堀口悠紀子 "
终物语（下）,8.2,(1449人评分),113,"
7话 / 2017年8月12日 "
JOJO的奇妙冒险 星尘斗士,8.2,(3004人评分),114,"
24话 / 2014年4月4日 "
猎人 OVA,8.2,(780人评分),115,"
8话 / 2002年1月17日 / 冨樫義博 "
日本动画（人）博览会,8.2,(849人评分),116,"
35话 / 2014年11月7日 "
宇宙兄弟,8.2,(1169人评分),117,"
99话 / 2012年4月1日 / 渡辺歩 / 小山宙哉（講談社「モーニング」連載中） "
歌牌情缘,8.1,(3200人评分),118,"
25话 / 2011年10月4日 / 浅香守生 / 末次由紀（講談社「BE・LOVE」連載） "
昭和元禄落语心中,8.2,(1539人评分),119,"
13话 / 2016年1月8日 / 小俣真一 / 雲田はるこ「昭和元禄落語心中」（講談社「ITAN」連載） "
秒速5厘米,8.1,(8547人评分),120,"
3话 / 2007年3月3日 / 新海誠 / 西村貴世 "
排球少年,8.1,(2561人评分),121,"
25话 / 2014年4月6日 / 古舘春一 "
爆漫王。2,8.1,(2617人评分),122,"
25话 / 2011年10月1日 "
