text,rate,number,rank,inform_tip
高达创形者,5.7,(54人评分),3606,"
25话 / 2018年4月3日 / 綿田慎也 "
3D彼女,5.6,(56人评分),3675,"
12话 / 2018年4月3日 / 直谷たかし / 那波マオ「3D彼女 リアルガール」（講談社「KCデザート」刊） / 栗田聡美 "
银河英雄传说 Die Neue These 邂逅,7.6,(205人评分),784,"
12话 / 2018年4月3日 / 多田俊介 / 田中芳樹「銀河英雄伝説」（東京創元社） / 菊地洋子、寺岡巌、津島桂 "
少年阿贝GO！GO！小芝麻 第3季,,,,"
2018年4月3日 / 森下裕美「少年アシベ」 "
鲁邦三世 PART5,7.9,(37人评分),,"
2018年4月3日 / 矢野雄一郎 / モンキー・パンチ「ルパン三世」 / 横堀久雄 "
立花馆恋爱三角铃,5.8,(44人评分),,"
12话 / 2018年4月3日 / merryhachi（一迅社刊「コミック百合姫」連載） / 花井柚都子 "
东京喰种:re,6.2,(118人评分),3315,"
12话 / 2018年4月3日 / 渡部穏寛 / 石田スイ「東京喰種トーキョーグール：re」（週刊ヤングジャンプ /集英社） / 中嶋敦子 "
四牌士,,(少于10人评分),,"
2018年4月2日 / 飯塚貴士 / 飯塚貴士 "
你还是不懂群马,5.6,(36人评分),,"
2018年4月2日 / まんきゅう / 井田ヒロト「お前はまだグンマを知らない」（新潮社「くらげバンチ」連載中） / 湖川友謙 "
战斗陀螺 爆烈 超绝,,,,"
2018年4月2日 / 森多ヒロ 『ベイブレードバースト (小学館「月刊コロコロコミック」連載中) 』 "
足球小将,6.9,(35人评分),,"
2018年4月2日 / 加藤敏幸 / 高橋陽一「キャプテン翼」（ジャンプ コミックス / 集英社） / 渡辺はじめ "
智龙迷城,,(少于10人评分),,"
2018年4月2日 / Puzzle & Dragons(ガンホー・オンライン・エンターテイメント) "
わしも-wasimo- 第6シリーズ,,,,"
2018年4月2日  "
キャラとおたまじゃくし島,,,,"
40话 / 2018年4月2日 / 門秀彦 / 門秀彦 "
四牌士,,(少于10人评分),,"
2018年4月2日 / 飯塚貴士 / 飯塚貴士 "
你还是不懂群马,5.6,(36人评分),,"
2018年4月2日 / まんきゅう / 井田ヒロト「お前はまだグンマを知らない」（新潮社「くらげバンチ」連載中） / 湖川友謙 "
战斗陀螺 爆烈 超绝,,,,"
2018年4月2日 / 森多ヒロ 『ベイブレードバースト (小学館「月刊コロコロコミック」連載中) 』 "
赛马娘 PrettyDerby,7.0,(185人评分),1975,"
13话 / 2018年4月1日 "
