text,rate,number,rank,inform_tip
魔法少女奈叶 The MOVIE 2nd A’s,8.0,(860人评分),222,"
2012年7月14日 / 草川啓造 / 都築真紀 "
JOJO的奇妙冒险 不灭钻石,8.0,(1502人评分),223,"
39话 / 2016年4月1日 / 荒木飛呂彦「ジョジョの奇妙な冒険 Part4 ダイヤモンドは砕けない」（週刊少年ジャンプ / 集英社） "
剧场版 吹响！悠风号～想要传达的旋律～,8.2,(192人评分),224,"
1话 / 2017年9月30日 / 小川太一 / 武田綾乃（宝島社文庫「響け！ユーフォニアム」シリーズ） / 池田晶子 "
星游记,8.0,(565人评分),225,"
26话 / 2011年10月30日 "
搞笑漫画日和3,8.0,(1792人评分),226,"
12话 / 2008年3月17日 / 大地丙太郎 / 増田こうすけ（集英社『ジャンプスクエア』連載） "
银之匙 Silver Spoon,8.0,(2782人评分),227,"
11话 / 2013年7月11日 / 荒川弘 "
秀逗魔导士NEXT,8.0,(762人评分),228,"
26话 / 1996年4月5日 / 渡部高志 / 神坂一 / 宮田奈保美 "
×××HOLiC◆继,8.0,(1504人评分),229,"
13话 / 2008年4月3日 / 水島努 / CLAMP / 黄瀬和哉 "
监狱兔 第四季,8.0,(1127人评分),230,"
13话 / 2011年3月26日 / 富岡聡、宮崎あぐり / 宮崎あぐり "
悠哉日常大王,8.0,(3526人评分),231,"
12话 / 2013年10月7日 / 川面真也 / あっと / 大塚舞 "
向阳素描 沙英・寻 毕业篇,8.1,(259人评分),232,"
2话 / 2013年11月27日 "
交响情人梦Finale,8.0,(1040人评分),233,"
11话 / 2010年1月14日 / 今千秋 "
悠哉日常大王 Repeat,8.0,(2078人评分),234,"
12话 / 2015年7月6日 "
恶魔人 crybaby,8.0,(1553人评分),235,"
10话 / 2018年1月5日 / 湯浅政明 / 永井豪 "
少女终末旅行,8.0,(2469人评分),236,"
12话 / 2017年10月6日 / つくみず（新潮社「くらげバンチ」連載） "
Fate/stay night [Heaven’s Feel] I.presage flower,8.1,(251人评分),237,"
2017年10月14日 "
小魔女DoReMi 大合奏,8.3,(111人评分),238,"
51话 / 2002年2月3日 / 東堂いづみ（擬人名称） "
赌博默示录,8.0,(1485人评分),239,"
26话 / 2007年10月2日 / 佐藤雄三 / 高田晴仁 "
机动战舰 -The prince of darkness-,8.0,(551人评分),240,"
1998年8月8日 / 佐藤竜雄 / 後藤圭二 "
物语系列 第二季,8.0,(3463人评分),241,"
26话 / 2013年7月6日 / 西尾維新 "
怪诞小镇 第一季,8.1,(198人评分),242,"
20话 / 2012年06月16日 "
宇宙骑士BLADE,8.0,(408人评分),243,"
49话 / 1992年2月18日 / ねぎしひろし / TOlllO（湖川友謙）、佐野浩敏 "
少女与战车 最终章 第1话,8.0,(506人评分),244,"
2017年12月9日 "
校园迷糊大王 二学期,8.0,(1308人评分),245,"
26话 / 2006年4月2日 / 金﨑貴臣 / 小林尽 / 渡辺はじめ "
机动警察,8.0,(391人评分),246,"
47话 / 1989年10月11日 / 吉永尚之 / ヘッドギア "
